model_name,status,gpu_id,input_shape,input_type,base_mem_mib,post_load_mem_mib,peak_total_mem_mib,peak_warmup_mem_mib,peak_measure_mem_mib,steady_mem_mib,warmup_avg_latency_ms,measure_avg_latency_ms,measure_min_latency_ms,measure_max_latency_ms,warmup_runs,measure_runs,error,model_path
resnet50_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,494,8422,8422,5268,5268,935.3252,79.3163,69.8824,87.0188,5,10,,/cyq/hase/model_zoo/models/resnet50_bs32_448x448.onnx
resnet50_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,498,4324,4324,2968,2968,717.9612,42.7135,36.505,67.0002,5,10,,/cyq/hase/model_zoo/models/resnet50_bs64_224x224.onnx
resnet50_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,496,11638,11638,9494,9494,1144.9886,132.6039,123.3701,149.7429,5,10,,/cyq/hase/model_zoo/models/resnet50_bs64_448x448.onnx
vgg11_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,1008,8246,8246,6164,6164,682.6069,75.269,58.454,82.1005,5,10,,/cyq/hase/model_zoo/models/vgg11_bs128_224x224.onnx
vgg11_bs128_448x448.onnx,ok,0,"[128, 3, 448, 448]",tensor(float),0,1424,24276,24276,18356,18356,1264.8065,232.0256,218.2215,244.789,5,10,,/cyq/hase/model_zoo/models/vgg11_bs128_448x448.onnx
vgg11_bs32_224x224.onnx,ok,0,"[32, 3, 224, 224]",tensor(float),0,1456,5408,5408,3028,3028,502.9143,18.2374,17.9468,18.5185,5,10,,/cyq/hase/model_zoo/models/vgg11_bs32_224x224.onnx
vgg11_bs32_448x448.onnx,ok,0,"[32, 3, 448, 448]",tensor(float),0,1016,13488,13488,6172,6172,711.833,77.6194,74.3141,80.08,5,10,,/cyq/hase/model_zoo/models/vgg11_bs32_448x448.onnx
vgg11_bs64_224x224.onnx,ok,0,"[64, 3, 224, 224]",tensor(float),0,1432,5648,5648,5052,5052,548.7049,31.0962,31.0573,31.1379,5,10,,/cyq/hase/model_zoo/models/vgg11_bs64_224x224.onnx
vgg11_bs64_448x448.onnx,ok,0,"[64, 3, 448, 448]",tensor(float),0,1410,16458,16458,10150,10150,886.2788,110.8048,110.146,111.4204,5,10,,/cyq/hase/model_zoo/models/vgg11_bs64_448x448.onnx
vgg16_bs128_224x224.onnx,ok,0,"[128, 3, 224, 224]",tensor(float),0,1394,13096,13096,10134,10134,1003.5378,106.7948,105.1115,109.6,5,10,,/cyq/hase/model_zoo/models/vgg16_bs128_224x224.onnx
