model1,averagetime1,model2,averagetime2,model3,averagetime3
yolov8n,0.059870344,resnet18,0.013255238,vgg16,0.011787126
yolov8n,0.061669527,resnet18,0.01386734,vgg19,0.012795161
yolov8n,0.059562261,resnet18,0.01324885,densenet121,0.03199961
yolov8n,0.05959034,resnet18,0.013358279,densenet169,0.041219773
yolov8n,0.061999505,resnet18,0.013789992,densenet201,0.04986552
yolov8n,0.062776118,resnet50,0.019711567,resnet50,0.01970372
yolov8n,0.061619996,resnet50,0.018135564,resnet152,0.035826057
yolov8n,0.060736178,resnet50,0.018847769,vgg11,0.011693655
yolov8n,0.058664286,resnet50,0.017921503,vgg16,0.01166455
yolov8n,0.060674636,resnet50,0.019132143,vgg19,0.012472618
yolov8n,0.058206226,resnet50,0.018089668,densenet121,0.031569334
yolov8n,0.06102594,resnet50,0.019144243,densenet169,0.042590738
yolov8n,0.061364022,resnet50,0.019112009,densenet201,0.048801006
yolov8n,0.059553675,resnet152,0.034512784,resnet152,0.034886353
yolov8n,0.05930256,resnet152,0.034961857,vgg11,0.011233735
yolov8n,0.059350946,resnet152,0.035488196,vgg16,0.011886188
yolov8n,0.057513402,resnet152,0.033188855,vgg19,0.011799416
yolov8n,0.059417529,resnet152,0.036132867,densenet121,0.032725535
yolov8n,0.059380018,resnet152,0.036888845,densenet169,0.041094673
yolov8n,0.059143055,resnet152,0.035991675,densenet201,0.046644493
yolov8n,0.058632358,vgg11,0.010949963,vgg11,0.010975972
yolov8n,0.059161175,vgg11,0.011086408,vgg16,0.011548121
yolov8n,0.059396604,vgg11,0.011020877,vgg19,0.011879798
yolov8n,0.0590213,vgg11,0.011014194,densenet121,0.031813671
yolov8n,0.058992101,vgg11,0.011004318,densenet169,0.039824828
yolov8n,0.058539657,vgg11,0.010914624,densenet201,0.046214801
yolov8n,0.059272972,vgg16,0.011531506,vgg16,0.011542146
yolov8n,0.058602792,vgg16,0.011529458,vgg19,0.012553249
yolov8n,0.058979552,vgg16,0.011500778,densenet121,0.031956516
yolov8n,0.058915911,vgg16,0.011524913,densenet169,0.040928696
yolov8n,0.058838491,vgg16,0.01145023,densenet201,0.046364043
yolov8n,0.058653058,vgg19,0.011850451,vgg19,0.011889344
yolov8n,0.054304402,vgg19,0.011893018,densenet121,0.03159466
yolov8n,0.059097626,vgg19,0.011837559,densenet169,0.040927553
yolov8n,0.056381495,vgg19,0.011217596,densenet201,0.045346498
yolov8n,0.058685887,densenet121,0.030914233,densenet121,0.031004738
yolov8n,0.058827364,densenet121,0.031351737,densenet169,0.040793731
yolov8n,0.058991992,densenet121,0.031518656,densenet201,0.051221861
yolov8n,0.059130862,densenet169,0.040016803,densenet169,0.041268594
yolov8n,0.058762324,densenet169,0.040477326,densenet201,0.046379182
yolov8n,0.058552004,densenet201,0.04677411,densenet201,0.045828012
yolov8x,0.064226561,yolov8x,0.06438303,yolov8x,0.064212843
yolov8x,0.062097907,yolov8x,0.05932327,yolov8m,0.061157581
yolov8x,0.067609242,yolov8x,0.067617534,resnet18,0.014009251
yolov8x,0.067083438,yolov8x,0.066739765,resnet50,0.019488141
yolov8x,0.065407796,yolov8x,0.06568325,resnet152,0.036224776
yolov8x,0.066619747,yolov8x,0.067030004,vgg11,0.011114473
yolov8x,0.071654177,yolov8x,0.07097213,vgg16,0.011714186
yolov8x,0.080051361,yolov8x,0.079280375,vgg19,0.011625336
yolov8x,0.064514073,yolov8x,0.064402561,densenet121,0.031667767
yolov8x,0.065759661,yolov8x,0.065217295,densenet169,0.039982391
yolov8x,0.064519515,yolov8x,0.064303862,densenet201,0.046913478
yolov8x,0.064458546,yolov8m,0.061484037,yolov8m,0.062132727
yolov8x,0.066922825,yolov8m,0.06681691,resnet18,0.013795914
yolov8x,0.065238762,yolov8m,0.063615853,resnet50,0.018207896
yolov8x,0.064590385,yolov8m,0.062839665,resnet152,0.036809855
yolov8x,0.064070774,yolov8m,0.06141123,vgg11,0.011213702
yolov8x,0.064519803,yolov8m,0.061325508,vgg16,0.011634919
yolov8x,0.064404881,yolov8m,0.061690083,vgg19,0.012036974
yolov8x,0.064912493,yolov8m,0.061926724,densenet121,0.031637737
yolov8x,0.063836621,yolov8m,0.061374714,densenet169,0.040755755
yolov8x,0.064050601,yolov8m,0.061321579,densenet201,0.047402758
yolov8x,0.06888507,resnet18,0.014524805,resnet18,0.014411046
yolov8x,0.067674064,resnet18,0.014636952,resnet50,0.019978072
yolov8x,0.068531525,resnet18,0.014056731,resnet152,0.037267723
yolov8x,0.067150989,resnet18,0.013727328,vgg11,0.011829863
yolov8x,0.06727615,resnet18,0.013864656,vgg16,0.012512823
yolov8x,0.068296357,resnet18,0.013768178,vgg19,0.012660948
yolov8x,0.06769221,resnet18,0.014022283,densenet121,0.033898487
yolov8x,0.068070893,resnet18,0.013811033,densenet169,0.043211912
yolov8x,0.068246025,resnet18,0.013734967,densenet201,0.049769243
yolov8x,0.067563041,resnet50,0.019420683,resnet50,0.019467295
yolov8x,0.067511798,resnet50,0.019284077,resnet152,0.037521965
yolov8x,0.066349547,resnet50,0.019061159,vgg11,0.011395978
yolov8x,0.063808453,resnet50,0.017924028,vgg16,0.011648571
yolov8x,0.066787882,resnet50,0.018826736,vgg19,0.012377414
yolov8x,0.065875779,resnet50,0.019061994,densenet121,0.032786987
yolov8x,0.065825352,resnet50,0.01773928,densenet169,0.039672341
